workload,scheduler,offeredLoad,repeats,invariantPasses,committedMean,committedStd,goodputMean,goodputStd,validRatioMean,validRatioStd,admissionRejectedMean,admissionRejectedStd,queueTimeoutMean,queueTimeoutStd,failedMean,failedStd,localDroppedMean,localDroppedStd,latencyAvgMsMean,latencyAvgMsStd,committedLatencyAvgMsMean,committedLatencyAvgMsStd,queueWaitAvgMsMean,queueWaitAvgMsStd,mvccFailuresMean,mvccFailuresStd,mvccInvalidRatioMean,mvccInvalidRatioStd
sc-w1,caps,300,10,10,4334.2,378.5729931084772,192.6360226404797,24.33400505654295,0.7223666666666666,0.06309549885141286,1665,378.0687768118388,0,0,0.8,2.5298221281347035,0,0,684.283,222.64153942931853,661.9236579295764,78.14120568132098,515.9053579336648,61.160111993866636,0,0,0,0
sc-w1,ed-mvcc,300,10,10,4458.2,349.9443765324236,203.3018061456274,19.175473305279354,0.7430333333333332,0.05832406275540394,1541.8,349.94437653242363,0,0,0,0,0,0,275.8621166666667,138.59001984517317,185.7925794014894,56.129083941110146,59.199139372807416,43.77361064899987,0,0,0,0
sc-w1,native,300,10,10,4769.3,169.34123997288893,127.09521743057144,24.212535520508283,0.7948833333333332,0.028223539995481498,0,0,0,0,1230.7,169.34123997288893,0,0,4677.41885,1693.2328643676678,369.40757297485726,33.68196536451547,0,0,1065.5,166.1252873921099,0.17758333333333332,0.027687547898684984
sc-w1,traditional-lock,300,10,10,2153.8,59.46016406898917,72.65661628310268,2.8329191280908312,0.35896666666666666,0.009910027344831531,3846.2,59.46016406898917,0,0,0,0,0,0,1970.2836333333332,21.899821615176307,5469.650571836313,136.7333087390806,5074.4878974070325,127.09035556737514,0,0,0,0
sc-w1,caps,500,10,10,4392,342.19455155088474,187.77278250196474,20.956489798472283,0.4391999999999999,0.034219455155088466,5605.3,339.99707515081815,0,0,2.7,8.538149682454623,0,0,570.18981,288.82260417240525,695.0733978304745,68.22729034452793,549.463584887312,55.37311115196339,0,0,0,0
sc-w1,ed-mvcc,500,10,10,4725.6,303.91709395820436,207.04782285487113,15.697464768475903,0.47256,0.030391709395820442,5274.4,303.91709395820436,0,0,0,0,0,0,389.65834,159.18685618719488,474.51918558171485,79.82169234811813,338.527726632926,70.28835449529548,0,0,0,0
sc-w1,native,500,10,10,8124.3,558.9275544389551,108.91274440991872,26.545015849733474,0.81243,0.05589275544389552,0,0,0,0,1875.7,558.9275544389551,0,0,15281.620740000002,2403.0509583461408,295.8114524282618,119.88485664259956,0,0,1534,643.670032789403,0.15339999999999998,0.0643670032789403
sc-w1,traditional-lock,500,10,10,2148.4,21.960570727252666,73.01549155970386,2.5957645797150266,0.21484,0.0021960570727252685,7851.6,21.960570727252666,0,0,0,0,0,0,1207.8302899999999,6.059974701349828,5588.44343650014,49.44264674816647,5194.6398846607535,46.37600396594372,0,0,0,0
sc-w2,caps,300,10,10,4387,63.40697473026484,163.35607711720235,4.122662171011244,0.7311666666666665,0.010567829121710804,1613,63.40697473026484,0,0,0,0,0,0,540.6604833333333,10.153998836878065,676.245870685132,10.11227335052998,542.5551378340163,8.125981018820319,0,0,0,0
sc-w2,ed-mvcc,300,10,10,3153.2,28.299195120081496,144.6689058893516,4.620152268875889,0.5255333333333334,0.004716532520013587,2846.7,28.26088777405582,0,0,0.1,0.31622776601683794,0,0,42.61728333333333,1.3999700130165915,73.5659257005982,2.37597578721209,0.03774690973525342,0.0034383180647443528,0,0,0,0
sc-w2,native,300,10,10,2566.7,233.23000092898283,74.66506631555832,13.084801341548312,0.42778333333333335,0.03887166682149713,0,0,0,0,3433.3,233.23000092898283,0,0,3522.6646833333334,1222.3852206004321,336.9191638371168,28.86927954218632,0,0,3119.9,267.517579900005,0.5199833333333334,0.04458626331666749
sc-w2,traditional-lock,300,10,10,1884,46.619023298792236,8.242407230247446,0.37365054628984695,0.314,0.007769837216465376,4116,46.619023298792236,0,0,0,0,0,0,7530.869166666668,362.34212691506536,23984.19679142279,1429.8024506799838,23146.281767198478,1405.8536468690716,0,0,0,0
sc-w2,caps,500,10,10,4313.2,42.247419382069296,161.43947051193936,1.6926595486495728,0.43132000000000004,0.004224741938206928,5686.8,42.247419382069296,0,0,0,0,0,0,358.20757000000003,14.074720819181064,715.1973124894232,7.196057321152205,575.9441270215891,6.118435252518748,0,0,0,0
sc-w2,ed-mvcc,500,10,10,3824.5,114.28157234557887,178.57662123274005,9.79839464782996,0.38245,0.011428157234557883,6175.5,114.28157234557887,0,0,0,0,0,0,53.336929999999995,5.263248785060842,100.82760988927754,8.383193180481866,0.2060873195836907,0.20309340540535858,0,0,0,0
sc-w2,native,500,10,10,5204,219.3951280731234,81.33852640278158,14.564845892408876,0.5204000000000001,0.02193951280731233,0,0,0,0,4796,219.3951280731234,0,0,14462.460949999999,2214.454154859718,207.35780520853615,9.125446147502338,0,0,4025,142.90323066093828,0.4025,0.014290323066093832
